
ID:,DF674856DB9C3826
Unit of Measure: Temperature: Celsius; Humidity: %RH; Pressure: mbar
Date Format: MM/DD/YYYY
Recorded Data:
CH1 (%),CH2 (C),CH3 (mb),Time,Date
+15.7,+22.8,01020,19:24,01/20/2022
+16.1,+22.5,01019,18:24,01/20/2022
+16.4,+22.4,01018,17:24,01/20/2022
+16.3,+22.8,01018,16:24,01/20/2022
+16.3,+22.7,01017,15:24,01/20/2022
+15.6,+22.7,01016,14:24,01/20/2022
+15.2,+22.9,01016,13:24,01/20/2022
+15.2,+22.7,01016,12:24,01/20/2022
+15.3,+22.7,01016,11:24,01/20/2022
+14.4,+22.8,01015,10:24,01/20/2022
+14.3,+23.0,01015,09:24,01/20/2022
+14.3,+23.1,01013,08:24,01/20/2022
+14.4,+23.1,01013,07:24,01/20/2022
+14.7,+23.1,01012,06:24,01/20/2022
+15.0,+23.0,01010,05:24,01/20/2022
+15.2,+23.1,01008,04:24,01/20/2022
+15.5,+23.1,01007,03:24,01/20/2022
+15.6,+23.2,01004,02:24,01/20/2022
+15.4,+23.4,01003,01:24,01/20/2022
+15.4,+23.2,01002,00:24,01/20/2022
+14.8,+23.8,01000,23:24,01/19/2022
+14.7,+23.6,00999,22:24,01/19/2022
+14.8,+23.1,00998,21:24,01/19/2022
+14.8,+23.0,00997,20:24,01/19/2022
+14.9,+22.9,00998,19:24,01/19/2022
+15.0,+22.9,00996,18:24,01/19/2022
+14.9,+23.0,00995,17:24,01/19/2022
+15.3,+22.7,00995,16:24,01/19/2022
+15.8,+22.7,00995,15:24,01/19/2022
+15.8,+22.7,00995,14:24,01/19/2022
+15.2,+22.7,00995,13:24,01/19/2022
+14.2,+22.8,00996,12:24,01/19/2022
+14.4,+22.6,00997,11:24,01/19/2022
+13.9,+22.7,00998,10:24,01/19/2022
+13.7,+22.8,00999,09:24,01/19/2022
+13.7,+22.7,01000,08:24,01/19/2022
+13.6,+22.8,01001,07:24,01/19/2022
+13.7,+22.8,01002,06:24,01/19/2022
+13.9,+22.6,01005,05:24,01/19/2022
+14.0,+22.7,01006,04:24,01/19/2022
+14.2,+22.8,01008,03:24,01/19/2022
+14.3,+22.7,01008,02:24,01/19/2022
+14.5,+22.6,01009,01:24,01/19/2022
+14.6,+22.7,01009,00:24,01/19/2022
+14.7,+22.7,01009,23:24,01/18/2022
+14.9,+22.6,01010,22:24,01/18/2022
+15.0,+22.7,01010,21:24,01/18/2022
+15.3,+22.6,01009,20:24,01/18/2022
+15.5,+22.7,01009,19:24,01/18/2022
+15.8,+22.6,01008,18:24,01/18/2022
+16.3,+22.3,01007,17:24,01/18/2022
+16.3,+22.2,01006,16:24,01/18/2022
+15.9,+22.8,01005,15:24,01/18/2022
+15.8,+22.6,01003,14:24,01/18/2022
+15.7,+22.6,01002,13:24,01/18/2022
+15.4,+22.7,01001,12:24,01/18/2022
+15.4,+22.6,01000,11:24,01/18/2022
+15.2,+22.5,00999,10:24,01/18/2022
+15.3,+22.6,00997,09:24,01/18/2022
+15.2,+22.7,00996,08:24,01/18/2022
+14.2,+23.2,00994,07:24,01/18/2022
+14.0,+22.9,00992,06:24,01/18/2022
+14.4,+22.7,00991,05:24,01/18/2022
+14.8,+22.4,00989,04:24,01/18/2022
+14.9,+22.8,00987,03:24,01/18/2022
+15.5,+22.4,00985,02:24,01/18/2022
+15.5,+22.7,00983,01:24,01/18/2022
+15.4,+22.8,00981,00:24,01/18/2022
+15.1,+23.2,00980,23:24,01/17/2022
+15.2,+23.2,00978,22:24,01/17/2022
+15.1,+23.2,00977,21:24,01/17/2022
+14.9,+23.2,00976,20:24,01/17/2022
+14.7,+23.3,00975,19:24,01/17/2022
+14.5,+23.3,00973,18:24,01/17/2022
+14.2,+23.5,00972,17:24,01/17/2022
+13.7,+23.8,00971,16:24,01/17/2022
+13.3,+23.7,00972,15:24,01/17/2022
+12.9,+23.7,00972,14:24,01/17/2022
+12.4,+23.6,00974,13:24,01/17/2022
+12.1,+23.5,00977,12:24,01/17/2022
+11.8,+23.1,00980,11:24,01/17/2022
+11.2,+23.0,00982,10:24,01/17/2022
+10.2,+23.0,00984,09:24,01/17/2022
+ 9.7,+22.9,00987,08:24,01/17/2022
+ 9.4,+22.9,00990,07:24,01/17/2022
+ 9.2,+22.9,00993,06:24,01/17/2022
+ 9.2,+22.8,00995,05:24,01/17/2022
+ 9.3,+22.4,00998,04:24,01/17/2022
+ 9.1,+22.8,01000,03:24,01/17/2022
+ 9.2,+22.5,01002,02:24,01/17/2022
+ 9.0,+22.8,01003,01:24,01/17/2022
+ 9.2,+22.6,01004,00:24,01/17/2022
+ 9.2,+22.5,01006,23:24,01/16/2022
+ 9.2,+22.7,01006,22:24,01/16/2022
+ 9.4,+22.2,01007,21:24,01/16/2022
+ 9.4,+22.6,01009,20:24,01/16/2022
+ 9.4,+22.5,01010,19:24,01/16/2022
+ 9.3,+22.9,01010,18:24,01/16/2022
+ 9.3,+23.2,01010,17:24,01/16/2022
+ 9.4,+23.0,01011,16:24,01/16/2022
+ 9.2,+23.3,01012,15:24,01/16/2022
+ 9.1,+23.3,01013,14:24,01/16/2022
+ 8.9,+23.3,01014,13:24,01/16/2022
+ 8.8,+23.2,01016,12:24,01/16/2022
+ 8.6,+23.2,01017,11:24,01/16/2022
+ 8.5,+23.1,01018,10:24,01/16/2022
+ 8.4,+23.1,01019,09:24,01/16/2022
+ 8.4,+23.1,01019,08:24,01/16/2022
+ 8.4,+23.1,01019,07:24,01/16/2022
+ 8.5,+23.1,01019,06:24,01/16/2022
+ 8.6,+23.1,01019,05:24,01/16/2022
+ 8.6,+23.1,01019,04:24,01/16/2022
+ 8.7,+23.1,01020,03:24,01/16/2022
+ 8.8,+23.1,01021,02:24,01/16/2022
+ 8.9,+23.1,01021,01:24,01/16/2022
+ 9.1,+23.0,01020,00:24,01/16/2022
+ 9.2,+23.2,01020,23:24,01/15/2022
+ 9.3,+23.2,01020,22:24,01/15/2022
+ 9.4,+23.1,01020,21:24,01/15/2022
+ 9.6,+23.0,01020,20:24,01/15/2022
+ 9.7,+23.1,01020,19:24,01/15/2022
+ 9.9,+23.1,01020,18:24,01/15/2022
+10.1,+23.2,01019,17:24,01/15/2022
+10.4,+23.1,01020,16:24,01/15/2022
+10.5,+22.9,01019,15:24,01/15/2022
+10.8,+22.4,01019,14:24,01/15/2022
+10.5,+22.6,01020,13:24,01/15/2022
+10.3,+23.2,01020,12:24,01/15/2022
+10.3,+23.1,01020,11:24,01/15/2022
+10.3,+23.0,01021,10:24,01/15/2022
+10.4,+23.0,01021,09:24,01/15/2022
+10.6,+22.8,01020,08:24,01/15/2022
+11.1,+22.4,01020,07:24,01/15/2022
+11.2,+22.8,01019,06:24,01/15/2022
+11.7,+22.6,01019,05:24,01/15/2022
+11.9,+22.5,01018,04:24,01/15/2022
+12.3,+22.7,01018,03:24,01/15/2022
+13.0,+22.2,01017,02:24,01/15/2022
+13.0,+22.8,01017,01:24,01/15/2022
+13.7,+22.3,01016,00:24,01/15/2022
+13.9,+22.8,01016,23:24,01/14/2022
+14.7,+22.2,01017,22:24,01/14/2022
+14.9,+22.7,01017,21:24,01/14/2022
+15.6,+22.0,01016,20:24,01/14/2022
+15.6,+22.8,01015,19:24,01/14/2022
+16.4,+22.7,01015,18:24,01/14/2022
+17.1,+22.3,01015,17:24,01/14/2022
+17.5,+22.0,01014,16:24,01/14/2022
+17.5,+22.2,01014,15:24,01/14/2022
+17.5,+22.2,01013,14:24,01/14/2022
+17.4,+22.1,01012,13:24,01/14/2022
+17.2,+22.2,01011,12:24,01/14/2022
+17.0,+22.3,01012,11:24,01/14/2022
+17.2,+22.0,01012,10:24,01/14/2022
+16.7,+22.5,01011,09:24,01/14/2022
+17.1,+21.9,01010,08:24,01/14/2022
+16.6,+22.4,01008,07:24,01/14/2022
+16.6,+22.2,01007,06:24,01/14/2022
+16.9,+21.9,01006,05:24,01/14/2022
+16.6,+22.5,01005,04:24,01/14/2022
+16.9,+22.0,01004,03:24,01/14/2022
+16.8,+22.2,01004,02:24,01/14/2022
+16.5,+22.5,01003,01:24,01/14/2022
+17.0,+21.9,01003,00:24,01/14/2022
+16.8,+22.3,01003,23:24,01/13/2022
+16.6,+22.4,01003,22:24,01/13/2022
+17.0,+21.9,01003,21:24,01/13/2022
+16.6,+22.4,01003,20:24,01/13/2022
+16.5,+22.3,01003,19:24,01/13/2022
+16.3,+22.7,01003,18:24,01/13/2022
+16.5,+22.4,01003,17:24,01/13/2022
+16.4,+22.3,01003,16:24,01/13/2022
+16.4,+22.0,01003,15:24,01/13/2022
+15.8,+22.6,01003,14:24,01/13/2022
+15.5,+22.5,01004,13:24,01/13/2022
+15.8,+22.2,01004,12:24,01/13/2022
+15.8,+22.3,01005,11:24,01/13/2022
+15.6,+22.6,01006,10:24,01/13/2022
+15.3,+21.9,01006,08:43,01/13/2022
+15.1,+21.7,01007,07:43,01/13/2022
+15.2,+21.6,01007,06:43,01/13/2022
+15.1,+21.9,01006,05:43,01/13/2022
+15.3,+21.8,01006,04:43,01/13/2022
+15.3,+21.9,01007,03:43,01/13/2022
+15.6,+21.7,01007,02:43,01/13/2022
+15.3,+22.1,01007,01:43,01/13/2022
+15.3,+22.0,01007,00:43,01/13/2022
+15.3,+22.0,01007,23:43,01/12/2022
+15.2,+22.0,01007,22:43,01/12/2022
+15.2,+22.0,01006,21:43,01/12/2022
+15.2,+21.9,01006,20:43,01/12/2022
+15.3,+21.7,01006,19:43,01/12/2022
+15.1,+21.8,01005,18:43,01/12/2022
+15.2,+21.7,01004,17:43,01/12/2022
+14.7,+22.2,01003,16:43,01/12/2022
+14.4,+22.1,01002,15:43,01/12/2022
+14.2,+22.0,01001,14:43,01/12/2022
+14.3,+22.0,01000,13:43,01/12/2022
+14.1,+21.5,01000,12:43,01/12/2022
+14.1,+21.5,01000,11:43,01/12/2022
+13.7,+21.5,01001,10:43,01/12/2022
+13.0,+21.5,01001,09:43,01/12/2022
+12.1,+22.0,01002,08:43,01/12/2022
+11.6,+22.1,01002,07:43,01/12/2022
+11.3,+22.1,01003,06:43,01/12/2022
+11.3,+22.1,01004,05:43,01/12/2022
+11.3,+22.1,01004,04:43,01/12/2022
+11.3,+22.1,01006,03:43,01/12/2022
+11.2,+22.0,01008,02:43,01/12/2022
+11.3,+21.9,01010,01:43,01/12/2022
+11.2,+22.0,01011,00:43,01/12/2022
+11.3,+22.2,01014,23:43,01/11/2022
+11.5,+22.0,01015,22:43,01/11/2022
+11.5,+22.2,01016,21:43,01/11/2022
+11.7,+22.1,01018,20:43,01/11/2022
+12.0,+22.0,01019,19:43,01/11/2022
+12.2,+22.1,01020,18:43,01/11/2022
+12.3,+22.3,01021,17:43,01/11/2022
+12.7,+22.2,01022,16:43,01/11/2022
+12.8,+22.1,01022,15:43,01/11/2022
+12.7,+22.2,01022,14:43,01/11/2022
+12.8,+21.5,01023,13:43,01/11/2022
+12.0,+22.3,01023,12:43,01/11/2022
+11.8,+22.7,01024,11:43,01/11/2022
+11.7,+22.9,01024,10:43,01/11/2022
+11.4,+22.9,01024,09:43,01/11/2022
+11.6,+22.9,01024,08:43,01/11/2022
+11.6,+22.8,01023,07:43,01/11/2022
+11.8,+22.6,01022,06:43,01/11/2022
+12.1,+22.4,01021,05:43,01/11/2022
+12.4,+22.1,01020,04:43,01/11/2022
+12.8,+21.8,01019,03:43,01/11/2022
+13.1,+21.9,01018,02:43,01/11/2022
+13.6,+21.9,01016,01:43,01/11/2022
+13.8,+22.0,01015,00:43,01/11/2022
+14.2,+21.9,01014,23:43,01/10/2022
+14.6,+21.6,01013,22:43,01/10/2022
+14.6,+22.2,01011,21:43,01/10/2022
+15.1,+21.5,01010,20:43,01/10/2022
+15.2,+21.8,01010,19:43,01/10/2022
+15.1,+22.0,01009,18:43,01/10/2022
+15.7,+21.6,01007,17:43,01/10/2022
+15.7,+22.0,01006,16:43,01/10/2022
+15.9,+21.6,01006,15:43,01/10/2022
+15.9,+22.0,01006,14:43,01/10/2022
+15.8,+21.8,01005,13:43,01/10/2022
+15.5,+22.2,01005,12:43,01/10/2022
+15.6,+21.6,01006,11:43,01/10/2022
+15.3,+21.8,01007,10:43,01/10/2022
+15.1,+21.7,01007,09:43,01/10/2022
+14.7,+22.0,01006,08:43,01/10/2022
